Period,y_USA_Benchmark,y_CHN_Benchmark,y_EA_Benchmark,y_ROW_Benchmark,c_USA_Benchmark,c_CHN_Benchmark,c_EA_Benchmark,c_ROW_Benchmark,piC_USA_Benchmark,piC_CHN_Benchmark,piC_EA_Benchmark,piC_ROW_Benchmark,piC_core_USA_Benchmark,piC_core_CHN_Benchmark,piC_core_EA_Benchmark,piC_core_ROW_Benchmark,reer_imp_USA_Benchmark,reer_imp_CHN_Benchmark,reer_imp_EA_Benchmark,reer_imp_ROW_Benchmark,reer_dw_USA_Benchmark,reer_dw_CHN_Benchmark,reer_dw_EA_Benchmark,reer_dw_ROW_Benchmark,exp_USA_Benchmark,exp_CHN_Benchmark,exp_EA_Benchmark,exp_ROW_Benchmark,imp_USA_Benchmark,imp_CHN_Benchmark,imp_EA_Benchmark,imp_ROW_Benchmark,i_USA_Benchmark,i_CHN_Benchmark,i_EA_Benchmark,i_ROW_Benchmark,pi_w_USA_Benchmark,pi_w_CHN_Benchmark,pi_w_EA_Benchmark,pi_w_ROW_Benchmark
1,-0.0831223935120439,-0.1680959263702234,-0.010043366363729489,-0.008842475366184412,-0.2237513562961865,-0.0681615353279009,-0.005672817525014329,-0.005668312639348265,0.12498140384601647,0.017338409838461966,0.008270815068849764,0.007134486278588706,0.009897256679214702,0.013237039555854039,0.005763574060319071,0.005792530731644575,-0.423664434599527,0.2724134712859343,0.022045728798633188,0.05308605441589333,-0.4270876691698212,0.32254336403466666,0.10218943300490554,0.10638569937394436,-0.17791371641188466,-0.9518035733127375,-0.0838191532892735,-0.10120757614397898,-1.1914969896301786,-0.4050004089336134,-0.0659436791655848,-0.08118349560925181,0.05312454197400587,0.0014986871884252327,0.003345240542342653,0.0028789259991332536,0.007406340262617807,-0.010663570696246702,0.00035244806008946715,0.00039595140043332703
2,-0.05219622584174253,-0.15115948600645795,-0.0035667440533581826,-0.003557354792436272,-0.17705640929891323,-0.06544376660604195,-5.6791937737051684e-05,-0.0014521046364311691,0.006429594976731653,-0.001219081533439266,-0.0022707850449353024,-0.0013372820037818242,0.010388802362125993,-0.0002935934331237257,-0.0014247972838966317,-0.0010584696019853383,-0.38116679389875957,0.26556757893641153,0.018204834941741063,0.04048575531632009,-0.3849510864318591,0.30986251621016386,0.08533433286632494,0.08881233966495859,-0.1855802364612159,-0.8479627185869807,-0.05581141392359468,-0.06845802914947165,-1.0855100299943505,-0.3789587439159075,-0.04145576649032379,-0.055177141464087955,0.041240228408966274,0.0011356108554950945,0.0015626884460532844,0.0016116633192053667,0.00875602421333435,-0.009186696987014369,0.00041435733768654725,0.0004498613870135364
3,-0.030147088672185927,-0.13659180882326416,0.0002575797776563941,-0.00038811080437851025,-0.14201960720278944,-0.06312748706919491,0.003111492042414637,0.001145963646296373,0.006203426312854218,-0.0011806686813549232,-0.0016055955340845659,-0.0009864049635086242,0.010111122625704605,-0.0004485232883216069,-0.001071876134282931,-0.000801056922264955,-0.3487492569424941,0.2611591033912416,0.014691463852162578,0.03087602746632082,-0.3526847632871059,0.3011395891935037,0.07174477257672177,0.07538862988000598,-0.1919880620880487,-0.7634394838604076,-0.03687598464349188,-0.04671404602646413,-0.9983092584509402,-0.3614705201722156,-0.025203529598862802,-0.03703639778004981,0.0324865443709163,0.0008099145866103822,0.0005147760655576173,0.0008031287394154137,0.009579658258306478,-0.007912078274965435,0.0004087015198935531,0.00044863783901995485
4,-0.014526828677910329,-0.1239758830088179,0.002389121025413007,0.0014275260660675296,-0.11546955883018437,-0.06115369066085619,0.004790667606060046,0.0026787217374441828,0.005936495998321193,-0.0011638818217315577,-0.0011643994980753002,-0.0007296293517195151,0.00980198351051338,-0.0005841100973234528,-0.0008125862084037449,-0.0006123383408762456,-0.32378311725593106,0.2583338711527325,0.011631031379121564,0.02344614301437264,-0.32776394852937096,0.29506965108285643,0.06081487915402793,0.0650107637107534,-0.19724994446095986,-0.693075573389107,-0.024126262649896216,-0.03216912700866957,-0.9247946892255219,-0.3493363139528522,-0.014303975943202613,-0.02427600839911644,0.025997764008668756,0.0005162906088934443,-8.370373145678325e-05,0.00030194329195715034,0.010028222838906042,-0.006810390566082552,0.0003668352695178848,0.00041645437659628483
5,-0.003569295212351108,-0.11296139067801955,0.0034465621499081135,0.002378505482492415,-0.09514299240107585,-0.059476992348449775,0.005560362769605455,0.003525260692764182,0.005671197579568876,-0.0011604077035162173,-0.0008533988949906985,-0.0005445956633504802,0.009475538129404422,-0.0006979778263976794,-0.0006220725702748375,-0.0004735606997604237,-0.3043643694838314,0.2565110474059729,0.009019830407271376,0.017646765025655573,-0.30833438143166114,0.2907736243909776,0.05201067856176983,0.056911580668118786,-0.20150367347052545,-0.6333005898367173,-0.015634041788479158,-0.022487653425611664,-0.8615211115546084,-0.3406542050787588,-0.006988631412191815,-0.015253393351127126,0.021161381221830384,0.00025226342205157226,-0.0004029680726005949,1.9539839766938256e-06,0.010211108153835375,-0.005856922825520389,0.0003079959743086474,0.0003685611604725029
6,0.004010841049992854,-0.10327693175581076,0.0038381624988559613,0.0027874087887047143,-0.07939542737817695,-0.058064095283071035,0.005790267332688118,0.003938833644522265,0.005413816198938914,-0.0011606336433302618,-0.0006328726356726571,-0.0004116189677694416,0.00914156959149417,-0.0007899582913060138,-0.00048203550582547776,-0.0003714442391107407,-0.2890861025149483,0.25529295119499806,0.006820494967082882,0.013078794420126121,-0.2930175693134225,0.28764264428569225,0.04489834575268466,0.050529414377566105,-0.20488007193006802,-0.5815735195169436,-0.010065699883551308,-0.01610000020874225,-0.8060307658314072,-0.3341859905992826,-0.0020816226585041657,-0.008836281859272023,0.017533439254639717,1.7466465523729887e-05,-0.0005521853237907169,-0.0001685268727310922,0.010207625567743784,-0.005030852929217388,0.00024374380975484295,0.0003143859334995646
7,0.009149173287589922,-0.09470990822188814,0.0038312267811598695,0.0028658784470646666,-0.06702921517547497,-0.05688777390362578,0.005714208655115729,0.0040866579007719376,0.0051672270519442605,-0.0011588549139244161,-0.0004761266462084202,-0.00031635112896917397,0.008806719620944157,-0.0008609893628461056,-0.0003790770574583869,-0.00029629365065911805,-0.2769067657738122,0.254411194513848,0.004983118946987589,0.009448843762877558,-0.2807879767958087,0.285257510548302,0.039130048905568086,0.04544962784016378,-0.2074994989265178,-0.5360710234648487,-0.006497128988774187,-0.011942711101702202,-0.7565552467483387,-0.32912261948607224,0.00120423644738055,-0.0042414720032682325,0.014791347110530848,-0.00018799480287398553,-0.0006010468068636502,-0.00025738420676083847,0.010075211399164527,-0.004314503216341559,0.0001807213528267949,0.0002595615783469364
8,0.012526672267990526,-0.08709145388537219,0.003598624194683558,0.0027514952774379555,-0.05717049404783581,-0.055923814704196044,0.005477772707842598,0.00407764738959563,0.004932625982897504,-0.001151954002306355,-0.00036461085958121536,-0.0002483736955731826,0.008475417651204369,-0.0009126525540846862,-0.00030338752621282544,-0.000241013349816683,-0.2670542483049003,0.2536881216328273,0.003455688294116146,0.006539325988138213,-0.27088218928261,0.28333225856075717,0.03442899725539261,0.04136423172071787,-0.20947042222945772,-0.4954735520205825,-0.004287973362444469,-0.009292058355019221,-0.7118127603212001,-0.3249360268228979,0.003397713689994467,-0.0009260799912942088,0.012700280881438888,-0.0003642836254271017,-0.0005935302486113785,-0.00029622647660292907,0.009855385521428525,-0.0036927760748246435,0.0001224657111877282,0.00020727666826455478
9,0.01463892535979194,-0.08028544548805654,0.0032502984599877428,0.002532534336365749,-0.04918045462777684,-0.05514959267440803,0.0051695485345530185,0.0039815509435016045,0.004710241461385358,-0.0011385056552174855,-0.00028530607531297855,-0.00020013003049777978,0.008150548965274422,-0.0009468639885545687,-0.00024777906674990877,-0.00020040157381848698,-0.25895545811284315,0.2530092505896919,0.0021892479217389465,0.004187592074636282,-0.2627315373352667,0.2816742432887956,0.030576018346234884,0.038043183185174356,-0.21088904232372788,-0.4588170224821185,-0.0029949960231868823,-0.0076542041456095335,-0.6708672344534742,-0.32128314936278785,0.0048547057673726905,0.00148686004515426,0.011089014765571769,-0.0005121007677444093,-0.0005569211229720105,-0.0003056280826376437,0.00957808439197371,-0.003152720544085945,7.059470567766379e-05,0.00015917131630635445
10,0.015846520064102372,-0.07418055569900622,0.002854572084780616,0.002264604986522624,-0.04259119745895319,-0.05454353960013577,0.004841637670239242,0.00384206569451175,0.004499757596752872,-0.0011181538420187147,-0.00022901025864984842,-0.0001661428336368375,0.007833929974513555,-0.0009656683080489255,-0.0002069792939424595,-0.00017063842829964814,-0.2521844930291428,0.2523036561842503,0.001140164481504272,0.002271173872051996,-0.2559120953148279,0.2801558841258641,0.027398117068590404,0.035313770271445874,-0.21183963909942133,-0.42538942794377,-0.002312093511585153,-0.006691812857941289,-0.6330294980996065,-0.3179431081149908,0.005814972622649021,0.003259535883748712,0.00983248605584936,-0.0006327063992371196,-0.0005077391415449515,-0.0002987512836034005,0.00926481400989833,-0.0026831931261174407,2.557660529789679e-05,0.00011592732544900454
11,0.016411701907138018,-0.06868451245918483,0.0024525013380963644,0.0019818280037172155,-0.037059283153947485,-0.05408505890893922,0.00452308318369959,0.0036857580375325655,0.004300571750847878,-0.00109118709043539,-0.0001891846549973033,-0.0001424436266134201,0.007526643679090505,-0.0009711043604444147,-0.0001771156512925119,-0.00014891369840790923,-0.2464244276362421,0.25153007523439225,0.0002708131855655257,0.0006972268021492601,-0.2501075608008112,0.2786946831060249,0.02475900878847695,0.03304568182530489,-0.21239536292658856,-0.39465846111404984,-0.0020286099854678755,-0.006174550349225368,-0.5977874968612101,-0.3147757769227682,0.006440036303159766,0.004574625152917811,0.008839191846088711,-0.000727827048665699,-0.0004556281468325212,-0.00028382966735496267,0.008930945654690967,-0.002274586742434178,-1.2776381324639333e-05,7.765329241436267e-05
12,0.016525049386147392,-0.0637199331527363,0.0020675035414000377,0.001704325466822325,-0.03233204273557126,-0.05375463101255435,0.004228619053085675,0.003528086280960036,0.004111951427716535,-0.0010582549450519586,-0.00016116401621092265,-0.00012615791077174668,0.007229274867152652,-0.0009651210215256572,-0.00015533925949840524,-0.00013315585293474644,-0.24143910048935402,0.25066712317385736,-0.00045055501467975725,-0.0006050957489295157,-0.24508168810938444,0.2772391243285022,0.022551431259607842,0.031140121134113612,-0.2126192595632175,-0.3662206612674407,-0.002000294671624895,-0.005945449206468481,-0.5647567593515331,-0.3116942996474512,0.0068386328482830504,0.005559674053303462,0.008042062965196255,-0.0007995219353447404,-0.0004059009274551926,-0.0002658581721306434,0.0085873885197978,-0.0019186097081425864,-4.499691299819925e-05,4.413273378316848e-05
